Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse,Book,startChapter,startVerse,endChapter,endVerse
EXO,36,23,36,38,2KI,14,1,14,24,JOB,5,8,6,7,JOH,13,18,13,38
EXO,37,1,37,24,2KI,14,25,15,22,JOB,6,8,7,6,JOH,14,1,14,26
EXO,37,25,38,8,2KI,15,23,16,9,JOB,7,7,8,14,JOH,14,27,15,17
EXO,38,9,38,23,2KI,16,10,17,14,JOB,8,15,9,24,JOH,15,18,16,15
EXO,38,24,39,7,2KI,17,15,17,35,JOB,9,25,10,17,JOH,16,16,17,3
EXO,39,8,39,26,2KI,17,36,18,20,JOB,10,18,11,20,JOH,17,4,17,26
EXO,39,27,39,43,2KI,18,21,19,4,JOB,12,0,,0,JOH,18,1,18,18
EXO,40,1,40,21,2KI,19,5,19,28,JOB,13,1,14,6,JOH,18,19,18,40
EXO,40,22,40,38,2KI,19,29,20,17,JOB,14,7,15,11,JOH,19,1,19,18
LEV,1,0,,0,2KI,20,18,21,22,JOB,15,12,15,35,JOH,19,19,19,37
LEV,2,0,,0,2KI,21,23,22,20,JOB,16,1,17,5,JOH,19,38,20,18
LEV,3,0,,0,2KI,23,1,23,18,JOB,17,6,18,21,JOH,20,19,20,31
LEV,4,1,4,12,2KI,23,19,24,4,JOB,19,0,,0,JOH,21,0,,0
LEV,4,13,4,26,2KI,24,5,25,7,JOB,20,0,,0,ACT,1,1,1,20
LEV,4,27,4,35,2KI,25,8,25,30,JOB,21,1,21,26,ACT,1,21,2,13
LEV,5,1,5,13,ISA,1,0,,0,JOB,21,27,22,30,ACT,2,14,2,36
LEV,5,14,6,7,ISA,2,1,3,11,JOB,23,1,24,8,ACT,2,37,3,11
LEV,6,8,6,23,ISA,3,12,5,6,JOB,24,9,25,6,ACT,3,12,4,10
LEV,6,24,7,10,ISA,5,7,6,4,JOB,26,1,27,12,ACT,4,11,4,31
LEV,7,11,7,27,ISA,6,5,7,20,JOB,27,13,28,19,ACT,4,32,5,11
LEV,7,28,8,5,ISA,7,21,8,22,JOB,28,20,29,25,ACT,5,12,5,32
LEV,8,6,8,21,ISA,9,1,10,7,JOB,30,1,30,23,ACT,5,33,6,7
LEV,8,22,8,36,ISA,10,8,11,5,JOB,30,24,31,23,ACT,6,8,7,16
LEV,9,1,9,14,ISA,11,6,13,8,JOB,31,24,32,10,ACT,7,17,7,34
LEV,9,15,10,5,ISA,13,9,14,17,JOB,32,11,33,13,ACT,7,35,7,53
LEV,10,6,10,15,ISA,14,18,15,9,JOB,33,14,34,9,ACT,7,54,8,17
LEV,10,16,11,12,ISA,16,0,17,0,JOB,34,10,34,37,ACT,8,18,8,40
LEV,11,13,11,33,ISA,18,1,19,17,JOB,35,1,36,15,ACT,9,1,9,22
LEV,11,34,11,47,ISA,19,18,21,0,JOB,36,16,37,13,ACT,9,23,9,43
LEV,12,1,13,8,ISA,22,0,,0,JOB,37,14,38,15,ACT,10,1,10,20
LEV,13,9,13,23,ISA,23,1,24,12,JOB,38,16,38,41,ACT,10,21,10,38
LEV,13,24,13,37,ISA,24,13,26,6,JOB,39,1,39,30,ACT,10,39,11,14
LEV,13,38,13,54,ISA,26,7,27,13,JOB,40,0,,0,ACT,11,15,11,30
LEV,13,55,14,9,ISA,28,0,,0,JOB,41,0,,0,ACT,12,0,,0
LEV,14,10,14,22,ISA,29,0,,0,JOB,42,0,,0,ACT,13,1,13,15
LEV,14,23,14,38,ISA,30,1,30,26,PSA,1,0,3,0,ACT,13,16,13,37
LEV,14,39,14,57,ISA,30,27,32,8,PSA,4,0,5,0,ACT,13,38,13,52
LEV,15,1,15,15,ISA,32,9,33,19,PSA,6,0,7,0,ACT,14,0,,0
LEV,15,16,15,27,ISA,33,20,34,17,PSA,8,0,9,0,ACT,15,1,15,21
LEV,15,28,16,10,ISA,35,0,36,0,PSA,10,0,,0,ACT,15,22,15,35
LEV,16,11,16,22,ISA,37,1,37,25,PSA,11,0,13,0,ACT,15,36,16,15
LEV,16,23,16,34,ISA,37,26,38,14,PSA,14,0,16,0,ACT,16,16,16,40
LEV,17,0,,0,ISA,38,15,40,8,PSA,17,0,,0,ACT,17,1,17,21
LEV,18,1,18,16,ISA,40,9,41,9,PSA,18,0,,0,ACT,17,22,18,3
LEV,18,17,18,30,ISA,41,10,42,9,PSA,19,0,,0,ACT,18,4,18,23
LEV,19,1,19,18,ISA,42,10,43,13,PSA,20,0,21,0,ACT,18,24,19,12
LEV,19,19,19,37,ISA,43,14,44,11,PSA,22,0,,0,ACT,19,13,19,34
LEV,20,1,20,16,ISA,44,12,45,10,PSA,23,0,24,0,ACT,19,35,20,12
LEV,20,17,20,27,ISA,45,11,46,11,PSA,25,0,26,0,ACT,20,13,20,32
LEV,21,1,21,15,ISA,46,12,48,8,PSA,27,0,28,0,ACT,20,33,21,14
LEV,21,16,22,9,ISA,48,9,49,12,PSA,29,0,30,0,ACT,21,15,21,32
LEV,22,10,22,25,ISA,49,13,50,9,PSA,31,0,,0,ACT,21,33,22,16
LEV,22,26,23,14,ISA,50,10,51,23,PSA,32,0,33,0,ACT,22,17,23,5
LEV,23,15,23,25,ISA,52,0,53,0,PSA,34,0,,0,ACT,23,6,23,21
LEV,23,26,23,44,ISA,54,0,55,5,PSA,35,0,,0,ACT,23,22,24,4
LEV,24,1,24,16,ISA,55,6,57,6,PSA,36,0,,0,ACT,24,5,24,26
LEV,24,17,25,7,ISA,57,7,58,12,PSA,37,0,,0,ACT,24,27,25,12
LEV,25,8,25,28,ISA,58,13,59,21,PSA,38,0,,0,ACT,25,13,26,8
LEV,25,29,25,43,ISA,60,0,61,3,PSA,39,0,40,0,ACT,26,9,26,32
LEV,25,44,25,55,ISA,61,4,63,6,PSA,41,0,,0,ACT,27,1,27,20
LEV,26,1,26,17,ISA,63,7,64,12,PSA,42,0,43,0,ACT,27,21,27,38
LEV,26,18,26,34,ISA,65,0,,0,PSA,44,0,,0,ACT,27,39,28,10
LEV,26,35,26,46,ISA,66,0,,0,PSA,45,0,46,0,ACT,28,11,28,31
LEV,27,1,27,21,JER,1,1,2,8,PSA,47,0,48,0,ROM,1,1,1,25
LEV,27,22,27,34,JER,2,9,2,37,PSA,49,0,,0,ROM,1,26,2,16
NUM,1,1,1,19,JER,3,1,3,21,PSA,50,0,,0,ROM,2,17,3,8
NUM,1,20,1,33,JER,3,22,4,26,PSA,51,0,53,0,ROM,3,9,4,5
NUM,1,34,1,46,JER,4,27,5,18,PSA,54,0,55,0,ROM,4,6,4,25
NUM,1,47,2,9,JER,5,19,6,17,PSA,56,0,,0,ROM,5,0,,0
NUM,2,10,2,24,JER,6,18,7,16,PSA,57,0,58,0,ROM,6,0,,0
NUM,2,25,3,10,JER,7,17,8,7,PSA,59,0,60,0,ROM,7,0,,0
NUM,3,11,3,26,JER,8,8,9,11,PSA,61,0,62,0,ROM,8,1,8,25
NUM,3,27,3,39,JER,9,12,10,11,PSA,63,0,64,0,ROM,8,26,9,5
NUM,3,40,4,3,JER,10,12,11,13,PSA,65,0,,0,ROM,9,6,9,28
NUM,4,4,4,16,JER,11,14,12,13,PSA,66,0,67,0,ROM,9,29,10,15
NUM,4,17,4,33,JER,12,14,13,23,PSA,68,0,,0,ROM,10,16,11,15
NUM,4,34,4,49,JER,13,24,14,22,PSA,69,0,,0,ROM,11,16,12,3
NUM,5,1,5,15,JER,15,0,,0,PSA,70,0,71,0,ROM,12,4,13,7
NUM,5,16,5,31,JER,16,1,17,4,PSA,72,0,,0,ROM,13,8,14,12
NUM,6,1,6,12,JER,17,5,18,8,PSA,73,0,,0,ROM,14,13,15,13
NUM,6,13,6,27,JER,18,9,19,9,PSA,74,0,,0,ROM,15,14,15,33
NUM,7,1,7,17,JER,19,10,20,18,PSA,75,0,76,0,ROM,16,0,,0
NUM,7,18,7,35,JER,21,1,22,7,PSA,77,0,,0,1CO,1,1,1,25
NUM,7,36,7,59,JER,22,8,23,4,PSA,78,1,78,39,1CO,1,26,2,16
NUM,7,60,7,77,JER,23,5,23,32,PSA,78,40,78,72,1CO,3,0,,0
NUM,7,78,8,4,JER,23,33,25,7,PSA,79,0,,0,1CO,4,0,,0
NUM,8,5,8,19,JER,25,8,25,31,PSA,80,0,,0,1CO,5,1,6,11
NUM,8,20,9,8,JER,25,32,26,18,PSA,81,0,82,0,1CO,6,12,7,11
NUM,9,9,9,23,JER,26,19,27,15,PSA,83,0,84,0,1CO,7,12,7,35
NUM,10,1,10,10,JER,27,16,28,17,PSA,85,0,86,0,1CO,7,36,8,13
NUM,10,11,10,28,JER,29,1,29,23,PSA,87,0,88,0,1CO,9,1,9,22
NUM,10,29,11,9,JER,29,24,30,17,PSA,89,1,89,26,1CO,9,23,10,13
NUM,11,10,11,23,JER,30,18,31,20,PSA,89,27,89,52,1CO,10,14,11,6
NUM,11,24,12,3,JER,31,21,32,5,PSA,90,0,91,0,1CO,11,7,11,34
NUM,12,4,12,16,JER,32,6,32,30,PSA,92,0,93,0,1CO,12,1,12,26
NUM,13,1,13,24,JER,32,31,33,9,PSA,94,0,95,0,1CO,12,27,13,13
NUM,13,25,14,4,JER,33,10,34,7,PSA,96,0,97,0,1CO,14,1,14,19
NUM,14,5,14,25,JER,34,8,35,7,PSA,98,0,100,0,1CO,14,20,14,40
NUM,14,26,14,39,JER,35,8,36,8,PSA,101,0,102,0,1CO,15,1,15,34
NUM,14,40,15,12,JER,36,9,36,32,PSA,103,0,,0,1CO,15,35,15,58
NUM,15,13,15,29,JER,37,0,,0,PSA,104,0,,0,1CO,16,1,16,24
NUM,15,30,16,3,JER,38,0,,0,PSA,105,0,,0,2CO,1,1,1,22
NUM,16,4,16,17,JER,39,0,,0,PSA,106,1,106,23,2CO,1,23,2,17
NUM,16,18,16,35,JER,40,1,41,3,PSA,106,24,106,48,2CO,3,1,4,6
NUM,16,36,16,50,JER,41,4,42,6,PSA,107,0,,0,2CO,4,7,5,10
NUM,17,0,,0,JER,42,7,43,13,PSA,108,0,,0,2CO,5,11,6,13
NUM,18,1,18,13,JER,44,1,44,19,PSA,109,0,,0,2CO,6,14,7,11
NUM,18,14,18,24,JER,44,20,45,0,PSA,110,0,111,0,2CO,7,12,8,15
NUM,18,25,19,10,JER,46,0,,0,PSA,112,0,,0,2CO,8,16,9,15
NUM,19,11,19,22,JER,47,1,48,25,PSA,113,0,115,0,2CO,10,0,,0
NUM,20,1,20,13,JER,48,26,49,6,PSA,116,0,117,0,2CO,11,1,11,29
NUM,20,14,20,29,JER,49,7,49,27,PSA,118,0,,0,2CO,11,30,12,15
NUM,21,1,21,16,JER,49,28,50,16,PSA,119,1,119,40,2CO,12,16,13,14
NUM,21,17,21,32,JER,50,17,50,43,PSA,119,41,119,64,GAL,1,0,,0
NUM,21,33,22,12,JER,50,44,51,23,PSA,119,65,119,96,GAL,2,0,,0
NUM,22,13,22,27,JER,51,24,51,48,PSA,119,97,119,128,GAL,3,0,,0
NUM,22,28,22,41,JER,51,49,52,11,PSA,119,129,119,160,GAL,4,0,,0
NUM,23,1,23,20,JER,52,12,52,34,PSA,119,161,120,0,GAL,5,0,,0
NUM,23,21,24,6,EZE,1,0,,0,PSA,121,0,124,0,GAL,6,0,,0
NUM,24,7,24,25,EZE,2,1,3,19,PSA,125,0,128,0,EPH,1,0,,0
NUM,25,0,,0,EZE,3,20,4,0,PSA,129,0,131,0,EPH,2,0,,0
NUM,26,1,26,11,EZE,5,0,,0,PSA,132,0,134,0,EPH,3,0,,0
NUM,26,12,26,27,EZE,6,1,7,14,PSA,135,0,,0,EPH,4,1,4,24
NUM,26,28,26,47,EZE,7,15,8,13,PSA,136,0,,0,EPH,4,25,5,21
NUM,26,48,26,62,EZE,8,14,10,5,PSA,137,0,138,0,EPH,5,22,6,0
NUM,26,63,27,11,EZE,10,6,11,12,PSA,139,0,140,0,PHP,1,0,,0
NUM,27,12,28,8,EZE,11,13,12,7,PSA,141,0,143,0,PHP,2,0,,0
NUM,28,9,28,25,EZE,12,8,13,9,PSA,144,0,145,0,PHP,3,0,,0
NUM,28,26,29,6,EZE,13,10,14,11,PSA,146,0,147,0,PHP,4,0,,0
NUM,29,7,29,25,EZE,14,12,16,7,PSA,148,0,150,0,COL,1,0,,0
NUM,29,26,29,40,EZE,16,8,16,34,PRO,1,0,,0,COL,2,0,,0
NUM,30,0,,0,EZE,16,35,16,58,PRO,2,0,,0,COL,3,0,,0
NUM,31,1,31,20,EZE,16,59,17,21,PRO,3,0,,0,COL,4,0,,0
