											
Psalms	100	102:14		Psalms	100	101					
Exodus	25:1	25:16	1 Kings	15:31	16:24	Nehemiah	9:16	9:28	John	1:1	1:28
Exodus	25:17	25:34	1 Kings	16:25	17:16	Nehemiah	9:29	10:13	John	1:29	1:51
Exodus	25:35	26:6	1 Kings	17:17	18:24	Nehemiah	10:14	10:36	John	2:1	2:25
Exodus	26:7	26:25	1 Kings	18:25	18:46	Nehemiah	10:37	11:14	John	3:1	3:21
Exodus	26:26	27:8	1 Kings	19		Nehemiah	11:15	11:36	John	3:22	4:10
Exodus	27:9	27:21	1 Kings	20:1	20:27	Nehemiah	12:1	12:29	John	4:11	4:30
Exodus	28:1	28:14	1 Kings	20:28	21:4	Nehemiah	12:30	12:47	John	4:31	4:54
Exodus	28:15	28:30	1 Kings	21:5	21:29	Nehemiah	13:1	13:14	John	5:1	5:24
Exodus	28:31	29:3	1 Kings	22:1	22:28	Nehemiah	13:15	13:31	John	5:25	5:47
Exodus	29:4	29:18	1 Kings	22:29	22:53	Esther	1:1	1:15	John	6:1	6:24
Exodus	29:19	29:34	2 Kings	1:1	2:3	Esther	1:16	2:7	John	6:25	6:51
Exodus	29:35	29:46	2 Kings	2:4	3:3	Esther	2:8	2:18	John	6:52	6:71
Exodus	30:1	30:16	2 Kings	3:4	3:27	Esther	2:19	3:9	John	7:1	7:31
Exodus	30:17	30:38	2 Kings	4:1	4:31	Esther	3:10	4:9	John	7:32	7:53
Exodus	31		2 Kings	4:32	5:7	Esther	4:10	5:8	John	8:1	8:24
Exodus	32:1	32:10	2 Kings	5:8	6:7	Esther	5:9	6:3	John	8:25	8:47
Exodus	32:11	32:24	2 Kings	6:8	6:33	Esther	6:4	7:6	John	8:48	9:12
Exodus	32:25	33:6	2 Kings	7		Esther	7:7	8:8	John	9:13	9:34
Exodus	33:7	33:23	2 Kings	8:1	8:24	Esther	8:9	9:4	John	9:35	10:21
Exodus	34:1	34:9	2 Kings	8:25	9:21	Esther	9:5	9:19	John	10:22	11:4
Exodus	34:10	34:28	2 Kings	9:22	10:5	Esther	9:20	10:3	John	11:5	11:31
Exodus	34:29	35:3	2 Kings	10:6	10:31	Job	1		John	11:32	11:54
Exodus	35:4	35:24	2 Kings	10:32	11:16	Job	2		John	11:55	12:19
Exodus	35:25	36:7	2 Kings	11:17	12:21	Job	3		John	12:20	12:43
Exodus	36:8	36:22	2 Kings	13		Job	4	5:7	John	12:44	13:17
Exodus	36:23	36:38	2 Kings	14:1	14:24	Job	5:8	6:7	John	13:18	13:38
Exodus	37:1	37:24	2 Kings	14:25	15:22	Job	6:8	7:6	John	14:1	14:26
Exodus	37:25	38:8	2 Kings	15:23	16:9	Job	7:7	8:14	John	14:27	15:17
Exodus	38:9	38:23	2 Kings	16:10	17:14	Job	8:15	9:24	John	15:18	16:15
Exodus	38:24	39:7	2 Kings	17:15	17:35	Job	9:25	10:17	John	16:16	17:3
Exodus	39:8	39:26	2 Kings	17:36	18:20	Job	10:18	11:20	John	17:4	17:26
Exodus	39:27	39:43	2 Kings	18:21	19:4	Job	12		John	18:1	18:18
Exodus	40:1	40:21	2 Kings	19:5	19:28	Job	13:1	14:6	John	18:19	18:40
Exodus	40:22	40:38	2 Kings	19:29	20:17	Job	14:7	15:11	John	19:1	19:18
Leviticus	1		2 Kings	20:18	21:22	Job	15:12	15:35	John	19:19	19:37
Leviticus	2		2 Kings	21:23	22:20	Job	16:1	17:5	John	19:38	20:18
Leviticus	3		2 Kings	23:1	23:18	Job	17:6	18:21	John	20:19	20:31
Leviticus	4:1	4:12	2 Kings	23:19	24:4	Job	19		John	21	
Leviticus	4:13	4:26	2 Kings	24:5	25:7	Job	20		Acts	1:1	1:20
Leviticus	4:27	4:35	2 Kings	25:8	25:30	Job	21:1	21:26	Acts	1:21	2:13
Leviticus	5:1	5:13	Isaiah	1		Job	21:27	22:30	Acts	2:14	2:36
Leviticus	5:14	6:7	Isaiah	2:1	3:11	Job	23:1	24:8	Acts	2:37	3:11
Leviticus	6:8	6:23	Isaiah	3:12	5:6	Job	24:9	25:6	Acts	3:12	4:10
Leviticus	6:24	7:10	Isaiah	5:7	6:4	Job	26:1	27:12	Acts	4:11	4:31
Leviticus	7:11	7:27	Isaiah	6:5	7:20	Job	27:13	28:19	Acts	4:32	5:11
Leviticus	7:28	8:5	Isaiah	7:21	8:22	Job	28:20	29:25	Acts	5:12	5:32
Leviticus	8:6	8:21	Isaiah	9:1	10:7	Job	30:1	30:23	Acts	5:33	6:7
